,Protein,ENSG,UniProt,Source,Score,disease_id
925,LTF,ENSG00000012223,P02788,uniprot_swissprot,0.19100122710901377,MONDO_0005180
926,CCAR2,ENSG00000158941,Q8N163,uniprot_swissprot,0.19066449334216212,MONDO_0005180
927,TERF2,ENSG00000132604,Q15554,uniprot_swissprot,0.19000888702115887,MONDO_0005180
928,FTMT,ENSG00000181867,Q8N4E7,uniprot_swissprot,0.18985556435767137,MONDO_0005180
929,PROM2,ENSG00000155066,Q8N271,uniprot_swissprot,0.18885690555444515,MONDO_0005180
930,FER,ENSG00000151422,P16591,uniprot_swissprot,0.1886973659470786,MONDO_0005180
931,NOL7,ENSG00000225921,Q9UMY1,uniprot_swissprot,0.1886051118971545,MONDO_0005180
932,NDN,ENSG00000182636,Q99608,uniprot_swissprot,0.18851952052155344,MONDO_0005180
933,NPIPB11,ENSG00000254206,E5RHQ5,uniprot_swissprot,0.18837494015323397,MONDO_0005180
934,WEE1,ENSG00000166483,P30291,uniprot_swissprot,0.1873691692340933,MONDO_0005180
935,GFM2,ENSG00000164347,Q969S9,uniprot_swissprot,0.18710687628211722,MONDO_0005180
936,ACE2,ENSG00000130234,Q9BYF1,uniprot_swissprot,0.18509663777859467,MONDO_0005180
937,ZNF217,ENSG00000171940,O75362,uniprot_swissprot,0.18419353826138946,MONDO_0005180
938,AUP1,ENSG00000115307,Q9Y679,uniprot_swissprot,0.18353973109588723,MONDO_0005180
939,TTC6,ENSG00000139865,Q86TZ1,uniprot_swissprot,0.18343744373910292,MONDO_0005180
940,CKMT2,ENSG00000131730,P17540,uniprot_swissprot,0.18300848970496708,MONDO_0005180
941,HTR7,ENSG00000148680,P34969,uniprot_swissprot,0.1826389098502824,MONDO_0005180
942,CC2D1A,ENSG00000132024,Q6P1N0,uniprot_swissprot,0.18257370181969418,MONDO_0005180
943,RPS12,ENSG00000112306,P25398,uniprot_swissprot,0.18209104480861246,MONDO_0005180
944,MAVS,ENSG00000088888,Q7Z434,uniprot_swissprot,0.1815305894705281,MONDO_0005180
945,SNTB2,ENSG00000168807,Q13425,uniprot_swissprot,0.18115860446946874,MONDO_0005180
946,LOXL3,ENSG00000115318,P58215,uniprot_swissprot,0.18113733371409824,MONDO_0005180
947,COMTD1,ENSG00000165644,Q86VU5,uniprot_swissprot,0.1796828242403394,MONDO_0005180
948,MEMO1,ENSG00000162959,Q9Y316,uniprot_swissprot,0.17913518324108885,MONDO_0005180
949,PIEZO1,ENSG00000103335,Q92508,uniprot_swissprot,0.17858081345906182,MONDO_0005180
950,RPS6KA6,ENSG00000072133,Q9UK32,uniprot_swissprot,0.17858074839455093,MONDO_0005180
951,KXD1,ENSG00000105700,Q9BQD3,uniprot_swissprot,0.17674423202843317,MONDO_0005180
952,TACR1,ENSG00000115353,P25103,uniprot_swissprot,0.176481596410852,MONDO_0005180
953,CLINT1,ENSG00000113282,Q14677,uniprot_swissprot,0.17620563197478556,MONDO_0005180
954,CD38,ENSG00000004468,P28907,uniprot_swissprot,0.17591904056041335,MONDO_0005180
955,TNR,ENSG00000116147,Q92752,uniprot_swissprot,0.17531225729110322,MONDO_0005180
956,SHROOM4,ENSG00000158352,Q9ULL8,uniprot_swissprot,0.17528168233807384,MONDO_0005180
957,VAMP4,ENSG00000117533,O75379,uniprot_swissprot,0.17405451822227133,MONDO_0005180
958,PDHA2,ENSG00000163114,P29803,uniprot_swissprot,0.17382370975026346,MONDO_0005180
959,DQX1,ENSG00000144045,Q8TE96,uniprot_swissprot,0.17330010030448648,MONDO_0005180
960,SLC9B2,ENSG00000164038,Q86UD5,uniprot_swissprot,0.17236992793588762,MONDO_0005180
961,S100A12,ENSG00000163221,P80511,uniprot_swissprot,0.17236986331412013,MONDO_0005180
962,DNAH17,ENSG00000187775,Q9UFH2,uniprot_swissprot,0.16990672605014348,MONDO_0005180
963,SPPL2B,ENSG00000005206,Q8TCT7,uniprot_swissprot,0.16914197016480595,MONDO_0005180
964,GLUD2,ENSG00000182890,P49448,uniprot_swissprot,0.16836415602303081,MONDO_0005180
965,SREK1,ENSG00000153914,Q8WXA9,uniprot_swissprot,0.16803562062783528,MONDO_0005180
966,CARS2,ENSG00000134905,Q9HA77,uniprot_swissprot,0.1675425045202599,MONDO_0005180
967,RARG,ENSG00000172819,P13631,uniprot_swissprot,0.1655377885999758,MONDO_0005180
968,COQ10B,ENSG00000115520,Q9H8M1,uniprot_swissprot,0.1651682703345431,MONDO_0005180
969,ITGA2B,ENSG00000005961,P08514,uniprot_swissprot,0.161241778557698,MONDO_0005180
970,ISCA1,ENSG00000135070,Q9BUE6,uniprot_swissprot,0.16090047396744162,MONDO_0005180
971,NEFH,ENSG00000100285,P12036,uniprot_swissprot,0.16071224132501435,MONDO_0005180
972,BIN3,ENSG00000147439,Q9NQY0,uniprot_swissprot,0.16026293970624172,MONDO_0005180
973,MIPOL1,ENSG00000151338,Q8TD10,uniprot_swissprot,0.15653624495007792,MONDO_0005180
974,DCUN1D1,ENSG00000043093,Q96GG9,uniprot_swissprot,0.15458172783997684,MONDO_0005180
975,FOXA1,ENSG00000129514,P55317,uniprot_swissprot,0.15303750529465618,MONDO_0005180
976,SLC41A1,ENSG00000133065,Q8IVJ1,uniprot_swissprot,0.15172312182692105,MONDO_0005180
977,UGT2B10,ENSG00000109181,P36537,uniprot_swissprot,0.1512659723426384,MONDO_0005180
978,ZNF646,ENSG00000167395,O15015,uniprot_swissprot,0.1491983100292013,MONDO_0005180
979,PPP3CB,ENSG00000107758,P16298,uniprot_swissprot,0.14833576566993711,MONDO_0005180
980,MED13,ENSG00000108510,Q9UHV7,uniprot_swissprot,0.1482461093437479,MONDO_0005180
981,DCLK1,ENSG00000133083,O15075,uniprot_swissprot,0.147885654247583,MONDO_0005180
982,MRE11,ENSG00000020922,P49959,uniprot_swissprot,0.1478319418738807,MONDO_0005180
983,C8orf58,ENSG00000241852,Q8NAV2,uniprot_swissprot,0.1465710336794437,MONDO_0005180
984,ELMO1,ENSG00000155849,Q92556,uniprot_swissprot,0.14559192877706684,MONDO_0005180
985,MED12L,ENSG00000144893,Q86YW9,uniprot_swissprot,0.14415548397583364,MONDO_0005180
986,P2RY12,ENSG00000169313,Q9H244,uniprot_swissprot,0.14198316500926858,MONDO_0005180
987,WDSUB1,ENSG00000196151,Q8N9V3,uniprot_swissprot,0.13880955425897373,MONDO_0005180
988,MYL5,ENSG00000215375,Q02045,uniprot_swissprot,0.138809447464393,MONDO_0005180
989,PLAUR,ENSG00000011422,Q03405,uniprot_swissprot,0.13746620546505892,MONDO_0005180
990,IP6K2,ENSG00000068745,Q9UHH9,uniprot_swissprot,0.13675695166017485,MONDO_0005180
991,KRT15,ENSG00000171346,P19012,uniprot_swissprot,0.13612712661963886,MONDO_0005180
992,USP25,ENSG00000155313,Q9UHP3,uniprot_swissprot,0.13554421020106036,MONDO_0005180
993,IDUA,ENSG00000127415,P35475,uniprot_swissprot,0.1348679250287527,MONDO_0005180
994,ADK,ENSG00000156110,P55263,uniprot_swissprot,0.13458910687224818,MONDO_0005180
995,ZNF785,ENSG00000197162,A8K8V0,uniprot_swissprot,0.13207788090761244,MONDO_0005180
996,ADCY5,ENSG00000173175,O95622,uniprot_swissprot,0.13129642652168882,MONDO_0005180
997,B3GNT3,ENSG00000179913,Q9Y2A9,uniprot_swissprot,0.13055077565548917,MONDO_0005180
998,HSD3B7,ENSG00000099377,Q9H2F3,uniprot_swissprot,0.13013910439918508,MONDO_0005180
999,PGS1,ENSG00000087157,Q32NB8,uniprot_swissprot,0.12907053931103976,MONDO_0005180
1000,CSF1R,ENSG00000182578,P07333,uniprot_swissprot,0.12801472753879628,MONDO_0005180
1001,SNX20,ENSG00000167208,Q7Z614,uniprot_swissprot,0.127477183150566,MONDO_0005180
1002,CLEC19A,ENSG00000261210,Q6UXS0,uniprot_swissprot,0.12441899622161419,MONDO_0005180
1003,PLEKHH1,ENSG00000054690,Q9ULM0,uniprot_swissprot,0.12313505576146054,MONDO_0005180
1004,GALK2,ENSG00000156958,Q01415,uniprot_swissprot,0.122977521845882,MONDO_0005180
1005,COL4A6,ENSG00000197565,Q14031,uniprot_swissprot,0.12240180672951587,MONDO_0005180
1006,GATM,ENSG00000171766,P50440,uniprot_swissprot,0.1216864866562419,MONDO_0005180
1007,PBXIP1,ENSG00000163346,Q96AQ6,uniprot_swissprot,0.1205970989617146,MONDO_0005180
1008,SLC44A4,ENSG00000204385,Q53GD3,uniprot_swissprot,0.12059019297180282,MONDO_0005180
