,fibonacci,lucky
287,4.26548E+59,861
288,6.90169E+59,865
289,1.11672E+60,867
290,1.80689E+60,871
291,2.9236E+60,873
292,4.73049E+60,877
293,7.65409E+60,879
294,1.23846E+61,883
295,2.00387E+61,885
296,3.24232E+61,889
297,5.24619E+61,891
298,8.48852E+61,895
299,1.37347E+62,897
300,2.22232E+62,901
301,3.59579E+62,903
302,5.81812E+62,907
303,9.41391E+62,909
304,1.5232E+63,913
305,2.46459E+63,915
306,3.9878E+63,919
307,6.45239E+63,921
308,1.04402E+64,925
309,1.68926E+64,927
310,2.73328E+64,931
311,4.42253E+64,933
312,7.15581E+64,937
313,1.15783E+65,939
314,1.87342E+65,943
315,3.03125E+65,945
316,4.90466E+65,949
317,7.93591E+65,951
318,1.28406E+66,955
319,2.07765E+66,957
320,3.36171E+66,961
321,5.43936E+66,963
322,8.80106E+66,967
323,1.42404E+67,969
324,2.30415E+67,973
325,3.72819E+67,975
326,6.03234E+67,979
327,9.76053E+67,981
328,1.57929E+68,985
329,2.55534E+68,987
330,4.13463E+68,991
331,6.68997E+68,993
332,1.08246E+69,997
333,1.75146E+69,999
334,2.83392E+69,1003
335,4.58537E+69,1005
336,7.41929E+69,1009
337,1.20047E+70,1011
338,1.94239E+70,1015
339,3.14286E+70,1017
340,5.08525E+70,1021
341,8.22811E+70,1023
342,1.33134E+71,1027
343,2.15415E+71,1029
344,3.48549E+71,1033
345,5.63963E+71,1035
346,9.12512E+71,1039
347,1.47648E+72,1041
348,2.38899E+72,1045
349,3.86546E+72,1047
350,6.25445E+72,1051
351,1.01199E+73,1053
352,1.63744E+73,1057
353,2.64943E+73,1059
354,4.28686E+73,1063
355,6.93629E+73,1065
356,1.12232E+74,1069
357,1.81594E+74,1071
358,2.93826E+74,1075
359,4.7542E+74,1077
360,7.69246E+74,1081
361,1.24467E+75,1083
362,2.01391E+75,1087
363,3.25858E+75,1089
364,5.27249E+75,1093
365,8.53107E+75,1095
366,1.38036E+76,1099
367,2.23346E+76,1101
368,3.61382E+76,1105
369,5.84728E+76,1107
370,9.46111E+76,1111
371,1.53084E+77,1113
372,2.47695E+77,1117
373,4.00779E+77,1119
374,6.48474E+77,1123
375,1.04925E+78,1125
376,1.69773E+78,1129
377,2.74698E+78,1131
378,4.44471E+78,1135
379,7.19168E+78,1137
380,1.16364E+79,1141
381,1.88281E+79,1143
382,3.04645E+79,1147
383,4.92925E+79,1149
384,7.9757E+79,1153
385,1.2905E+80,1155
386,2.08807E+80,1159
387,3.37856E+80,1161
388,5.46663E+80,1165
389,8.84519E+80,1167
390,1.43118E+81,1171
391,2.3157E+81,1173
392,3.74688E+81,1177
393,6.06258E+81,1179
394,9.80946E+81,1183
395,1.5872E+82,1185
396,2.56815E+82,1189
397,4.15536E+82,1191
398,6.72351E+82,1195
399,1.08789E+83,1197
400,1.76024E+83,1201
401,2.84812E+83,1203
402,4.60836E+83,1207
403,7.45648E+83,1209
404,1.20648E+84,1213
405,1.95213E+84,1215
406,3.15862E+84,1219
407,5.11075E+84,1221
408,8.26937E+84,1225
409,1.33801E+85,1227
410,2.16495E+85,1231
411,3.50296E+85,1233
412,5.66791E+85,1237
413,9.17087E+85,1239
414,1.48388E+86,1243
415,2.40096E+86,1245
416,3.88484E+86,1249
417,6.28581E+86,1251
418,1.01706E+87,1255
419,1.64565E+87,1257
420,2.66271E+87,1261
421,4.30836E+87,1263
422,6.97107E+87,1267
423,1.12794E+88,1269
424,1.82505E+88,1273
425,2.95299E+88,1275
426,4.77804E+88,1279
427,7.73103E+88,1281
428,1.25091E+89,1285
429,2.02401E+89,1287
430,3.27492E+89,1291
431,5.29893E+89,1293
432,8.57384E+89,1297
433,1.38728E+90,1299
434,2.24466E+90,1303
435,3.63194E+90,1305
436,5.8766E+90,1309
437,9.50854E+90,1311
438,1.53851E+91,1315
439,2.48937E+91,1317
440,4.02788E+91,1321
441,6.51725E+91,1323
442,1.05451E+92,1327
443,1.70624E+92,1329
444,2.76075E+92,1333
445,4.46699E+92,1335
446,7.22774E+92,1339
447,1.16947E+93,1341
448,1.89225E+93,1345
449,3.06172E+93,1347
450,4.95397E+93,1351
451,8.01569E+93,1353
452,1.29697E+94,1357
453,2.09853E+94,1359
454,3.3955E+94,1363
455,5.49403E+94,1365
456,8.88953E+94,1369
457,1.43836E+95,1371
458,2.32731E+95,1375
459,3.76567E+95,1377
460,6.09298E+95,1381
461,9.85864E+95,1383
462,1.59516E+96,1387
463,2.58103E+96,1389
464,4.17619E+96,1393
465,6.75721E+96,1395
466,1.09334E+97,1399
467,1.76906E+97,1401
468,2.8624E+97,1405
469,4.63146E+97,1407
470,7.49387E+97,1411
471,1.21253E+98,1413
472,1.96192E+98,1417
473,3.17445E+98,1419
474,5.13637E+98,1423
475,8.31082E+98,1425
476,1.3447E+99,1429
477,2.1758E+99,1431
478,3.5205E+99,1435
479,5.6963E+99,1437
480,9.2168E+99,1441
481,1.4913E+100,1443
482,2.413E+100,1447
483,3.9043E+100,1449
484,6.3173E+100,1453
485,1.0222E+101,1455
486,1.6539E+101,1459
487,2.6761E+101,1461
488,4.33E+101,1465
489,7.006E+101,1467
490,1.1336E+102,1471
491,1.8342E+102,1473
492,2.9678E+102,1477
493,4.802E+102,1479
494,7.7698E+102,1483
495,1.2572E+103,1485
496,2.0342E+103,1489
497,3.2913E+103,1491
498,5.3255E+103,1495
499,8.6168E+103,1497
